,citing author name,citing paper title,cited paper title,affiliated institution,latitude,longitude,county,city,state,country
131,Wei Sun,A deep learning based no-reference quality assessment model for ugc videos,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
132,Marcos V. Conde,AIS 2024 challenge on video quality assessment of user-generated content: Methods and results,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,H2O.ai,40.1858975,44.5073716,,Yerevan,,Armenia
133,Tian Meng,Blindly assess quality of in-the-wild videos via quality-aware pre-training and motion perception,Regression or classification? new methods to evaluate no-reference picture and video quality models,Wuhan University,30.537354049999998,114.36152031917142,,Wuchang District,Hubei,China
134,Hyeonjun Sim,Modernizing old photos using multiple references via photorealistic style transfer,Pik-Fix: Restoring and Colorizing Old Photos,Qualcomm,12.987455,77.7040726,Bangalore East,,Karnataka,India
135,Ruiyang Liu,Are we ready for a new paradigm shift? a survey on visual deep mlp,MAXIM: Multi-Axis MLP for Image Processing,清华大学,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
136,Guoxin Zhang,Multi-modal 3d object detection in autonomous driving: A survey and taxonomy,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Hebei University of Science,39.205429800000005,118.58595604901612,,Tangshan,Hebei,China
137,Yu-Chih Chen,Study of subjective and objective quality assessment of mobile cloud gaming videos,Subjective quality assessment of user-generated content gaming videos,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
138,Yang Liu,Spatio-temporal domain awareness for multi-agent collaborative perception,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,University of Toronto,43.663461999999996,-79.39775966248058,,Old Toronto,Ontario,Canada
139,Yansong Tang (唐彦嵩),Hornet: Efficient high-order spatial interactions with recursive gated convolutions,MAXIM: Multi-Axis MLP for Image Processing,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
140,Snježana Rimac-Drlje,Content dependent representation selection model for systems based on MPEG DASH,Content adaptive tiling method based on user access preference for streaming panoramic video,Faculty of Electrical Engineering,41.316834,19.82188934873777,Tirana County,Tirana,Central Albania,Albania
141,João Carreira,Attention-driven tile splitting method for improved efficiency of omnidirectional versatile video coding,Content adaptive tiling method based on user access preference for streaming panoramic video,Instituto de Telecomunicacoes,40.6340366,-8.659929522405761,Aveiro,Aveiro,,Portugal
142,Bernhard Jaeger,End-to-end autonomous driving: Challenges and frontiers,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,University of Tübingen,48.53405945,9.071244429234808,Landkreis Tübingen,,Baden-Württemberg,Germany
143,Shangchen Zhou,Flexicurve: Flexible piecewise curves estimation for photo retouching,Pik-Fix: Restoring and Colorizing Old Photos,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
144,Li Dong,Image as a foreign language: Beit pretraining for vision and vision-language tasks,MaxViT: Multi-axis Vision Transformer,Microsoft Research,52.194951450000005,0.13501083507603753,Cambridgeshire,Cambridge,England,United Kingdom
145,Li-Heng Chen,Learning to distort images using generative adversarial networks,Adaptive debanding filter,Netflix Inc.,34.0891581,-118.333448,Los Angeles County,Los Angeles,California,United States
146,Jong Kwon,A kernel density estimation based quality metric for quality assessment of obstetric ultrasound video,Adaptive debanding filter,Oxford University,34.3653692,-89.5350279,Lafayette County,Oxford,Mississippi,United States
147,Weiwei Cai,Hierarchical damage correlations for old photo restoration,Pik-Fix: Restoring and Colorizing Old Photos,Jiangnan University,31.48512185,120.26733518229403,,Binhu District,Jiangsu,China
148,Zhenqiang  Ying,Patch-vq:'patching up'the video quality problem,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Inc.,38.321089,106.38857247478668,Lingwu City,Yinchuan City,Ningxia,China
149,Qi Zheng,COVER: A comprehensive video quality evaluator,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
150,Shengfeng He,Hierarchical damage correlations for old photo restoration,Pik-Fix: Restoring and Colorizing Old Photos,Singapore Management University,1.29616795,103.85004365998248,,Singapore,,Singapore
151,Annan Wang,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,Efficient user-generated video quality prediction,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
152,Guoxin Zhang,Multi-modal 3d object detection in autonomous driving: A survey and taxonomy,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Hebei University of Science and Technology,37.97742555,114.51560972019823,,Shijiazhuang,Hebei,China
153,Xuemin Hu,FusionPlanner: A multi-task motion planner for mining trucks via multi-sensor fusion,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Hubei University,30.5796437,114.3234733,,Wuchang District,Hubei,China
154,Chongyi Li,Flexicurve: Flexible piecewise curves estimation for photo retouching,Pik-Fix: Restoring and Colorizing Old Photos,Nankai University,39.101985,117.1609501175526,Nankai District,Nankai,Tianjin,China
155,Chaofeng Chen,Exploring the effectiveness of video perceptual representation in blind video quality assessment,A comparative evaluation of temporal pooling methods for blind video quality assessment,S-Lab,54.7391503,55.9709483,городской округ Уфа,Ufa,Bashkortostan,Russia
156,Yang Zhou,A survey on multimodal large language models for autonomous driving,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
157,Chaofeng Chen,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
158,Ziqi Huang,Vbench: Comprehensive benchmark suite for video generative models,UGC-VQA: Benchmarking blind video quality assessment for user generated content,NTU,25.01688615,121.53852099555085,,Taipei,,Taiwan
159,Tu Danyang,MD-VQA: Multi-dimensional quality assessment for UGC live videos,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
160,"M. Emre Celebi, SPIE Fellow","Forty years of color quantization: a modern, algorithmic survey",Adaptive debanding filter,Engineering,14.6683641,120.994608,,Malabon,,Philippines
161,Jinjin GU,Dual aggregation transformer for image super-resolution,MAXIM: Multi-Axis MLP for Image Processing,The University of Sydney,-33.88890725,151.18941110261173,,Sydney,New South Wales,Australia
162,Qi Zheng,Faver: Blind quality prediction of variable frame rate videos,BBAND Index: a No-Reference Banding Artifact Predictor,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
163,Long Xu,Progressive Bidirectional Feature Extraction and Enhancement Network for Quality Evaluation of Night-Time Images,Subjective quality assessment of user-generated content gaming videos,Chinese Academy of Sciences,39.90933665,116.32971461228999,,Beijing,Beijing,China
164,Zhengzhong Tu,RAPIQUE: Rapid and accurate video quality prediction of user generated content,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
165,Yifan Lu,Collaboration helps camera overtake lidar in 3d detection,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States
166,Rafal K. Mantiuk,Robust estimation of exposure ratios in multi-exposure image stacks,BBAND Index: a No-Reference Banding Artifact Predictor,UK,6.3110548,20.5447525,,,Ouaka,Central African Republic
167,Zhengzhong Tu,A completely blind video quality evaluator,Regression or classification? new methods to evaluate no-reference picture and video quality models,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
168,Xin Xia,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MaxViT: Multi-axis Vision Transformer,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
169,Zhi Li,ProxIQA: A proxy approach to perceptual optimization of learned image compression,BBAND Index: a No-Reference Banding Artifact Predictor,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
170,Li-Heng Chen,A comparative evaluation of temporal pooling methods for blind video quality assessment,BBAND Index: a No-Reference Banding Artifact Predictor,Netflix Inc.,34.0891581,-118.333448,Los Angeles County,Los Angeles,California,United States
171,Jiaqi Ma,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MAXIM: Multi-Axis MLP for Image Processing,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
172,Huifang Li,"Collaborative perception in autonomous driving: Methods, datasets, and challenges",V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Wuhan University,30.537354049999998,114.36152031917142,,Wuchang District,Hubei,China
173,Zhengzhong Tu,Maxim: Multi-axis mlp for image processing,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
174,Jiaqi Ma,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MaxViT: Multi-axis Vision Transformer,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
175,Zhengzhong Tu,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
176,Huifang Li,"Collaborative perception in autonomous driving: Methods, datasets, and challenges",CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Wuhan University,30.537354049999998,114.36152031917142,,Wuchang District,Hubei,China
177,Annan Wang,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
178,Jiaqi Ma,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MAXIM: Multi-Axis MLP for Image Processing,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
179,Haoning Wu,Exploring video quality assessment on user generated contents from aesthetic and technical perspectives,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
180,Qiu Bo,Study of subjective and objective quality assessment of mobile cloud gaming videos,Subjective quality assessment of user-generated content gaming videos,MIT,42.3582529,-71.0966272383055,Middlesex County,Cambridge,Massachusetts,United States
181,Qiu Bo,GAMIVAL: Video quality prediction on mobile cloud gaming content,Subjective quality assessment of user-generated content gaming videos,MIT,42.3582529,-71.0966272383055,Middlesex County,Cambridge,Massachusetts,United States
182,Jiaqi Ma,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MaxViT: Multi-axis Vision Transformer,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
183,Qi Zheng,COVER: A comprehensive video quality evaluator,Subjective quality assessment of user-generated content gaming videos,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
184,Wei Dai,Video Quality Analysis: Steps towards Unifying Full and No Reference Cases,Regression or classification? new methods to evaluate no-reference picture and video quality models,Technology,3.16129015,101.56813112882818,,Petaling Jaya,Selangor,Malaysia
185,Haoning Wu,Exploring video quality assessment on user generated contents from aesthetic and technical perspectives,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
186,Ziqi Huang,Vbench: Comprehensive benchmark suite for video generative models,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
187,Zhengzhong Tu,Maxvit: Multi-axis vision transformer,MAXIM: Multi-Axis MLP for Image Processing,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
188,Zhengzhong Tu,Maxim: Multi-axis mlp for image processing,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
189,Runsheng Xu,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,UCLA,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
190,Yibo Fan,Interlayer restoration deep neural network for scalable high efficiency video coding,Adaptive debanding filter,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
191,Xin Xia,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
192,Haoning Wu,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
193,Alan Bovik,A completely blind video quality evaluator,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
194,Shoubhik Debnath,Convnext v2: Co-designing and scaling convnets with masked autoencoders,MaxViT: Multi-axis Vision Transformer,Meta,3.5000086,-73.0000086,,,Meta,Colombia
195,Qi Zheng,No-reference quality assessment of variable frame-rate videos using temporal bandpass statistics,Regression or classification? new methods to evaluate no-reference picture and video quality models,Shanghai,31.2323437,121.4691024,,Shanghai,Shanghai,China
196,Congyan Lang,"Collaborative perception in autonomous driving: Methods, datasets, and challenges",V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Beijing Jiaotong University,39.95044035,116.33606901092409,,Haidian District,Beijing,China
197,Han Yu,Ai-empowered persuasive video generation: A survey,Efficient user-generated video quality prediction,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
198,Jose M. Alvarez,Voxformer: Sparse voxel transformer for camera-based 3d semantic scene completion,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States
199,Chunle Guo,Flexicurve: Flexible piecewise curves estimation for photo retouching,Pik-Fix: Restoring and Colorizing Old Photos,Nankai University,39.101985,117.1609501175526,Nankai District,Nankai,Tianjin,China
200,Yingjie Zhou,Subjective and objective quality assessment for in-the-wild computer graphics images,Subjective quality assessment of user-generated content gaming videos,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
201,Dingkang Yang,Spatio-temporal domain awareness for multi-agent collaborative perception,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
202,Xin Xia,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MaxViT: Multi-axis Vision Transformer,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
203,Huaidong Zhang,Hierarchical damage correlations for old photo restoration,Pik-Fix: Restoring and Colorizing Old Photos,South China University of Technology,23.1549709,113.3422197,,Tianhe District,Guangdong Province,China
204,Yiqi Zhong,Where2comm: Communication-efficient collaborative perception via spatial confidence maps,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Microsoft,37.3974949,-122.0842646,Santa Clara County,Mountain View,California,United States
205,Chia-Ju  Chen,A comparative evaluation of temporal pooling methods for blind video quality assessment,BBAND Index: a No-Reference Banding Artifact Predictor,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
206,Haoning Wu,Exploring the effectiveness of video perceptual representation in blind video quality assessment,A comparative evaluation of temporal pooling methods for blind video quality assessment,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
207,Zicheng Zhang,BlazeBVD: Make Scale-Time Equalization Great Again for Blind Video Deflickering,Pik-Fix: Restoring and Colorizing Old Photos,University of Chinese  Academy of Sciences,39.907697049999996,116.24405770367915,,Shijingshan District,Beijing,China
208,Jelena Vlaović,Content dependent representation selection model for systems based on MPEG DASH,Content adaptive tiling method based on user access preference for streaming panoramic video,računarstva i informacijskih tehnologija Osijek,45.5568101,18.6955045,Osijek-Baranja County,Osijek,,Croatia
209,Zixing Lei,Where2comm: Communication-efficient collaborative perception via spatial confidence maps,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
210,Liang Liao,Q-align: Teaching lmms for visual scoring via discrete text-defined levels,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
211,Weijia Jia,An end-to-end no-reference video quality assessment method with hierarchical spatiotemporal feature representation,Regression or classification? new methods to evaluate no-reference picture and video quality models,UIC,41.868922299999994,-87.64858476010119,Cook County,Chicago,Illinois,United States
212,Kun Yang,How2comm: Communication-efficient and collaboration-pragmatic multi-agent perception,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
213,Jiaqi Ma,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
214,Dr Nabajeet Barman,AIS 2024 challenge on video quality assessment of user-generated content: Methods and results,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Kingston University,51.403073899999995,-0.3032181426130893,,London,England,United Kingdom
215,Jingwen Hou,Exploring video quality assessment on user generated contents from aesthetic and technical perspectives,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
216,Zhengzhong Tu,A comparative evaluation of temporal pooling methods for blind video quality assessment,BBAND Index: a No-Reference Banding Artifact Predictor,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
217,Andreja Samčović,No-reference local image quality evaluation,Regression or classification? new methods to evaluate no-reference picture and video quality models,University of Belgrade,44.8179654,20.450776496755196,City of Belgrade,Belgrade,Central Serbia,Serbia
218,Liang Liao,Discovqa: Temporal distortion-content transformers for video quality assessment,Efficient user-generated video quality prediction,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
219,Deepti Ghadiyaram,Patch-vq:'patching up'the video quality problem,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Runway,37.78160545,-122.30951661984686,Alameda County,Alameda,California,United States
220,Wei Lu,BH-VQA: Blind High Frame Rate Video Quality Assessment,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Sun Yat-sen University,23.09960335,113.29235087324346,,Haizhu District,Guangdong Province,China
221,Kun Yang,Spatio-temporal domain awareness for multi-agent collaborative perception,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
222,Zhengzhong Tu,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Adaptive debanding filter,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
223,Huaidong Zhang,Delving into Important Samples of Semi-Supervised Old Photo Restoration: A New Dataset and Method,Pik-Fix: Restoring and Colorizing Old Photos,South China University of Technology,23.1549709,113.3422197,,Tianhe District,Guangdong Province,China
224,Zhengzhong Tu,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Adaptive debanding filter,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
225,Zhengzhong Tu,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Adaptive debanding filter,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
226,Kashyap Chitta,End-to-end autonomous driving: Challenges and frontiers,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,University of Tübingen,48.53405945,9.071244429234808,Landkreis Tübingen,,Baden-Württemberg,Germany
227,Xin Xia,HYDRO-3D: Hybrid object detection and tracking for cooperative perception using 3D LiDAR,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
228,Hai-Tao Zheng (郑海涛),Are we ready for a new paradigm shift? a survey on visual deep mlp,MAXIM: Multi-Axis MLP for Image Processing,Peng Cheng Laboratory,22.5751276,113.9383373,,Nanshan District,Guangdong Province,China
229,Nancy Mehta,The ninth NTIRE 2024 efficient super-resolution challenge report,MAXIM: Multi-Axis MLP for Image Processing,JMU Wuerzburg,49.780603150000005,9.971655766351642,,Würzburg,Bavaria,Germany
230,Xiongkuo Min (闵雄阔),Analysis of video quality datasets via design of minimalistic video quality models,Subjective quality assessment of user-generated content gaming videos,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
231,Qi Zheng,A completely blind video quality evaluator,Pik-Fix: Restoring and Colorizing Old Photos,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
232,Zhengzhong Tu,Maxvit: Multi-axis vision transformer,MAXIM: Multi-Axis MLP for Image Processing,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
233,Qi Zheng,COVER: A comprehensive video quality evaluator,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,"Fudan University, Shanghai, China",31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
234,Erli Zhang,Exploring video quality assessment on user generated contents from aesthetic and technical perspectives,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
235,Christopher G. Brinton,Federated learning for connected and automated vehicles: A survey of existing approaches and challenges,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Purdue University,40.430028,-86.92642114650494,Tippecanoe County,West Lafayette,Indiana,United States
236,Shiqi Wang 王诗淇,Exploiting Bidirectional Quality Impulse for Reference Picture Resampled Gaming Video Coding,Subjective quality assessment of user-generated content gaming videos,City University of Hong Kong,22.3400204,114.16971664362887,,Kowloon,Hong Kong,China
237,Ghyslain Gagnon,No-reference video quality assessment using distortion learning and temporal attention,Efficient user-generated video quality prediction,Ecole de technologie supérieure,45.49451545,-73.5628554929944,Urban agglomeration of Montreal,Montreal,Quebec,Canada
238,Weijia Jia,An end-to-end no-reference video quality assessment method with hierarchical spatiotemporal feature representation,Regression or classification? new methods to evaluate no-reference picture and video quality models,Beijing Normal University,39.959732,116.35973697755406,,Xicheng District,Beijing,China
239,Zhengzhong Tu,No-reference quality assessment of variable frame-rate videos using temporal bandpass statistics,Regression or classification? new methods to evaluate no-reference picture and video quality models,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
240,Jiaqi Ma,HYDRO-3D: Hybrid object detection and tracking for cooperative perception using 3D LiDAR,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
241,Liang Liao,Exploring video quality assessment on user generated contents from aesthetic and technical perspectives,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
242,Xin Xia,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MAXIM: Multi-Axis MLP for Image Processing,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
243,Marcos V. Conde,AIS 2024 challenge on video quality assessment of user-generated content: Methods and results,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Sony PlayStation,42.4621785,21.4740782,,Gjilan,,Kosovo
244,Xin Xia,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MAXIM: Multi-Axis MLP for Image Processing,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
245,Jiantao Zhou,Activating more pixels in image super-resolution transformer,MAXIM: Multi-Axis MLP for Image Processing,Information Science,41.4823214,-72.4986995,Lower Connecticut River Valley Planning Region,,,United States
246,Qi Zheng,A completely blind video quality evaluator,Pik-Fix: Restoring and Colorizing Old Photos,"Fudan University, Shanghai, China",31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
247,Zhengzhong Tu,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MAXIM: Multi-Axis MLP for Image Processing,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
248,Linghe Kong,Dual aggregation transformer for image super-resolution,MaxViT: Multi-axis Vision Transformer,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
249,Wei Dai,Video Quality Analysis: Steps towards Unifying Full and No Reference Cases,Regression or classification? new methods to evaluate no-reference picture and video quality models,Hong Kong University of Science and Technology,22.3386304,114.2620337,,Sai Kung District,Hong Kong,China
250,Wei Sun,MD-VQA: Multi-dimensional quality assessment for UGC live videos,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
251,Xinlei Chen,Convnext v2: Co-designing and scaling convnets with masked autoencoders,MaxViT: Multi-axis Vision Transformer,"FAIR, Meta",4.3129074,-72.0784394,,,Meta,Colombia
252,Zhengzhong Tu,Blind Video Quality Assessment via Space-Time Slice Statistics,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
253,Xiangxu YU,Subjective and objective analysis of streamed gaming videos,Subjective quality assessment of user-generated content gaming videos,Washington University in St. Louis,38.64724015,-90.30840174694748,Saint Louis County,St. Louis,Missouri,United States
254,Chaowei Xiao,Voxformer: Sparse voxel transformer for camera-based 3d semantic scene completion,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,University of Wisconsin - Madison,43.080274450000005,-89.43095871991434,Dane County,,Wisconsin,United States
255,Haoning Wu,Discovqa: Temporal distortion-content transformers for video quality assessment,Efficient user-generated video quality prediction,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
256,Guangtao Zhai,Analysis of video quality datasets via design of minimalistic video quality models,Subjective quality assessment of user-generated content gaming videos,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
257,Chunyi Li,Q-align: Teaching lmms for visual scoring via discrete text-defined levels,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
258,Jianmin Jiang,A viewport prediction framework for panoramic videos,Content adaptive tiling method based on user access preference for streaming panoramic video,Shenzhen University,22.53590225,113.93147487492186,,Nanshan District,Guangdong Province,China
259,Yawei Li,Efficient and explicit modelling of image hierarchies for image restoration,MAXIM: Multi-Axis MLP for Image Processing,ETH Zurich,47.413218,8.5374914,District Zurich,Zurich,Zurich,Switzerland
260,Karoll Quijano,YOLOv5-Tassel: Detecting tassels in RGB UAV imagery with improved YOLOv5 based on transfer learning,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Purdue University,40.430028,-86.92642114650494,Tippecanoe County,West Lafayette,Indiana,United States
261,Meng Zonglin,A systematic survey of control techniques and applications in connected and automated vehicles,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
262,Haoning Wu,Towards explainable in-the-wild video quality assessment: a database and a language-prompted approach,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
263,Nisar Ahmed,TQP: An Efficient Video Quality Assessment Framework for Adaptive Bitrate Video Streaming,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Technology Lahore,31.5015016,74.332101,,Lahore,Punjab,Pakistan
